id,price
7063,1187623.8
79,1419315.0
5417,1809903.9
2889,1992613.5
3517,1584147.4
4923,2018957.1
159,1229532.4
6901,1609408.8
5917,1209181.4
6947,1438581.4
5322,2341593.8
3646,1206642.5
1261,2459634.5
4251,1060948.5
5573,1880507.9
5578,1104684.8
6437,2853005.8
1839,1603898.9
2275,740920.4
859,563979.5
1885,774498.1
2644,2494399.5
5661,3312156.0
6876,7848488.0
4621,2219176.2
6028,1900937.1
2812,390937.88
3968,4477707.5
298,1433611.1
2038,1780512.1
3972,2907925.2
2763,814205.4
4752,1910945.1
6983,2827234.0
5707,1257309.0
4162,1909092.6
6359,2471115.2
6586,4573125.5
2355,1930723.4
2518,1460507.1
5984,1786473.8
2843,1651030.4
6319,2678589.5
1276,878922.25
1095,4926667.0
6195,2950627.2
4658,1349486.4
2834,1755367.0
5174,2206735.2
2164,895450.1
4681,1972965.0
3672,2670152.5
2623,1461005.8
3666,1129432.0
6523,1853013.6
1700,546602.1
2686,1041984.8
7079,1440377.0
3341,2306022.8
3959,1278672.4
5202,2124093.8
6468,1242962.0
3995,2315887.5
3358,740323.56
1275,1161148.5
6497,1252133.8
4384,1586366.8
6918,2013959.1
3090,859506.6
2314,2458677.8
6658,1836283.9
6666,1273467.5
6552,1402225.8
1235,1127956.2
988,1398911.9
1627,1524664.5
1271,2466938.0
1974,2921392.8
5596,1321147.9
160,555919.3
3507,383163.0
1964,983869.56
4414,1458116.1
5912,1075775.9
5887,1740728.6
3607,778751.7
6094,1525289.9
4818,1278562.6
599,902220.2
3307,1953597.8
3441,1025582.9
2318,3090883.5
6269,1264742.4
4663,2182803.0
354,1692793.5
2223,2171127.0
5690,1695053.5
5777,1768616.6
6212,1876824.2
6746,2485812.2
268,769932.94
5276,1596361.9
808,1942136.1
3438,1574544.0
245,931759.5
6293,1941563.9
3096,1953763.5
1924,2194374.5
2795,1571483.8
5073,2097594.2
4141,2131374.2
914,2200550.2
3518,1314887.0
3965,1380789.1
1262,1903997.9
6200,2839084.5
1254,2120278.8
976,1226363.5
6175,1144099.8
2852,1439389.6
457,2304653.2
809,1555593.1
6127,1167085.8
559,587270.3
3787,2094771.4
6900,2149267.0
4326,3098001.5
1010,585157.6
349,1719290.5
5506,1842163.2
1085,513341.62
2085,1546106.8
5448,1309242.4
376,2137161.0
2250,2117787.0
2523,6256244.5
343,1263456.0
2527,743921.0
4932,1980290.2
4963,3751604.2
2846,1773367.6
878,1013561.0
905,942305.94
5662,3280268.2
1570,3846116.5
7012,1858936.0
5921,1219893.1
4035,1792376.6
4494,1163679.4
4265,1125992.6
1468,3479126.5
5575,1177396.4
3974,1806682.5
5604,1859148.8
1192,808430.25
3633,1583354.4
253,817379.6
644,476386.56
2437,1846157.4
80,1508051.8
6176,1208265.0
1779,1102724.9
1316,1080290.2
6328,2288622.8
2919,1526439.5
2182,755986.4
2323,2804930.0
6382,1753330.9
1151,3318713.5
3401,1441234.4
1298,693671.1
3228,2203255.0
2647,740253.6
4253,514525.78
6301,1304650.6
4302,5884382.0
5146,1127384.1
927,714290.1
5425,1092883.6
4933,1898489.5
4040,2753115.8
677,713883.56
3452,811864.5
4541,3195394.8
5640,2365743.5
3159,1876854.6
706,714345.3
4792,4600188.5
5443,1555532.2
437,2022902.4
2820,999742.7
3027,996286.75
4011,1786916.8
4084,4029823.0
3662,1193580.2
6498,1133328.1
3703,2212842.5
6165,1579745.1
5812,5113805.0
2319,2601546.2
6369,1637641.5
2800,1248166.0
1938,397818.25
675,925375.56
3157,1942675.2
4214,1902711.0
2123,418349.4
1219,1888593.6
611,1740144.2
4586,1272544.8
513,1459351.5
4252,591812.56
6670,1285735.2
5059,1224185.4
4794,3281426.0
6920,1828939.9
944,2237848.8
1771,3500953.8
2308,663126.25
2493,2059103.5
5820,2464880.2
517,946937.25
5537,1110043.2
6877,3408071.5
5261,2188324.2
1657,1630429.5
